t_sec,target_kbps,loss_based_kbps,delay_based_kbps,fraction_loss,rtt_ms
0.000,300,300,0,0,0
1.691,301,301,301,0,0
1.711,301,301,301,0,3
1.711,286,301,301,0,3
1.714,272,301,301,0,3
1.716,258,301,301,0,3
1.719,245,301,301,0,3
1.721,233,301,301,0,3
1.722,221,301,301,0,3
1.722,210,301,301,0,3
1.727,221,301,301,0,3
1.741,3794,3794,3794,0,2
1.751,3794,3794,3794,0,2
1.775,3794,3794,3794,0,4
1.792,3794,3794,3794,0,4
1.802,3794,3794,3794,0,4
1.824,3794,3794,3794,0,3
1.826,3794,3794,3794,0,3
1.842,3794,3794,3794,0,3
1.851,3794,3794,3794,0,3
1.876,3794,3794,3794,0,3
1.894,3794,3794,3794,0,6
1.901,3794,3794,3794,0,6
1.926,3794,3794,3794,0,2
1.943,3804,3804,3804,0,2
1.951,3804,3804,3804,0,2
1.976,3804,3804,3804,0,2
1.994,3804,3804,3804,0,2
2.001,3804,3804,3804,0,2
2.026,3804,3804,3804,0,2
2.037,3804,3804,3804,0,3
2.045,3804,3804,3804,0,3
2.050,3804,3804,3804,0,3
2.076,3804,3804,3804,0,3
2.095,3818,3818,3818,0,2
2.101,3818,3818,3818,0,2
2.125,3818,3818,3818,0,2
2.146,3818,3818,3818,0,2
2.151,3818,3818,3818,0,4
2.177,3818,3818,3818,0,3
2.197,3833,3833,3833,0,3
2.200,3833,3833,3833,0,3
2.212,3833,3833,3833,0,6
2.227,3833,3833,3833,0,6
2.247,3833,3833,3833,0,2
2.248,3849,3849,3849,0,2
2.251,3849,3849,3849,0,2
2.275,3849,3849,3849,0,3
2.299,3849,3849,3849,0,3
2.301,3849,3849,3849,0,3
2.326,3849,3849,3849,0,3
2.350,3864,3864,3864,0,2
2.351,3864,3864,3864,0,2
2.377,3864,3864,3864,0,2
2.400,3864,3864,3864,0,2
2.401,3864,3864,3864,0,3
2.427,3864,3864,3864,0,3
2.450,3864,3864,3864,0,2
2.452,3864,3864,3864,0,2
2.477,3864,3864,3864,0,2
2.492,3864,3864,3864,0,2
2.501,3864,3864,3864,0,2
2.502,3864,3864,3864,0,2
2.525,3864,3864,3864,0,2
2.528,3864,3864,3864,0,3
2.552,3864,3864,3864,0,3
2.552,3864,3864,3864,0,3
2.576,3864,3864,3864,0,3
2.600,3864,3864,3864,0,3
2.600,3864,3864,3864,0,2
2.603,3864,3864,3864,0,2
2.626,3864,3864,3864,0,2
2.651,3864,3864,3864,0,2
2.654,3864,3864,3864,0,2
2.669,3864,3864,3864,0,3
2.677,3864,3864,3864,0,3
2.700,3864,3864,3864,0,3
2.704,3864,3864,3864,0,3
2.705,3864,3864,3864,0,2
2.727,3864,3864,3864,0,2
2.738,3864,3864,3864,0,3
2.750,3864,3864,3864,0,3
2.754,3864,3864,3864,0,3
2.773,3864,3864,3864,0,2
2.777,3864,3864,3864,0,2
2.802,3864,3864,3864,0,2
2.804,3864,3864,3864,0,2
2.826,3864,3864,3864,0,3
2.850,3864,3864,3864,0,3
2.854,3864,3864,3864,0,3
2.877,3864,3864,3864,0,3
2.880,3864,3864,3864,0,2
2.901,3864,3864,3864,0,2
2.904,3864,3864,3864,0,2
2.915,3864,3864,3864,0,2
2.925,3864,3864,3864,0,2
2.949,3864,3864,3864,0,3
2.951,3864,3864,3864,0,3
2.954,3874,3874,3874,0,3
2.977,3874,3874,3874,0,6
3.001,3874,3874,3874,0,6
3.005,3874,3874,3874,0,6
3.020,3874,3874,3874,0,2
3.027,3874,3874,3874,0,2
3.050,3874,3874,3874,0,2
3.056,3874,3874,3874,0,2
3.076,3874,3874,3874,0,2
3.102,3874,3874,3874,0,2
3.107,3874,3874,3874,0,4
3.125,3874,3874,3874,0,4
3.151,3874,3874,3874,0,2
3.157,3874,3874,3874,0,2
3.176,3874,3874,3874,0,2
3.201,3874,3874,3874,0,2
3.208,3874,3874,3874,0,2
3.227,3874,3874,3874,0,2
3.251,3874,3874,3874,0,2
3.258,3874,3874,3874,0,2
3.276,3874,3874,3874,0,2
3.300,3874,3874,3874,0,2
3.310,3874,3874,3874,0,2
3.327,3874,3874,3874,0,2
3.351,3874,3874,3874,0,3
3.360,3889,3889,3889,0,3
3.376,3889,3889,3889,0,3
3.401,3889,3889,3889,0,3
3.406,3889,3889,3889,0,2
3.411,3889,3889,3889,0,2
3.425,3889,3889,3889,0,2
3.443,3889,3889,3889,0,3
3.451,3889,3889,3889,0,3
3.461,3891,3891,3891,0,3
3.476,3891,3891,3891,0,3
3.502,3891,3891,3891,0,3
3.512,3891,3891,3891,0,2
3.526,3891,3891,3891,0,2
3.551,3891,3891,3891,0,2
3.562,3891,3891,3891,0,2
3.576,3891,3891,3891,0,2
3.601,3891,3891,3891,0,2
3.613,3891,3891,3891,0,2
3.626,3891,3891,3891,0,2
3.651,3891,3891,3891,0,6
3.664,3891,3891,3891,0,6
3.676,3891,3891,3891,0,2
3.702,3891,3891,3891,0,2
3.714,3891,3891,3891,0,2
3.726,3891,3891,3891,0,2
3.751,3891,3891,3891,0,3
3.758,3891,3891,3891,0,2
3.764,3891,3891,3891,0,2
3.775,3891,3891,3891,0,2
3.801,3891,3891,3891,0,2
3.814,3891,3891,3891,0,2
3.826,3891,3891,3891,0,2
3.830,3891,3891,3891,0,3
3.852,3891,3891,3891,0,3
3.863,3891,3891,3891,0,2
3.865,3891,3891,3891,0,2
3.875,3891,3891,3891,0,2
3.898,3891,3891,3891,0,2
3.901,3891,3891,3891,0,2
3.916,3891,3891,3891,0,2
3.926,3891,3891,3891,0,3
3.952,3891,3891,3891,0,2
3.966,3891,3891,3891,0,2
3.976,3891,3891,3891,0,2
4.001,3891,3891,3891,0,2
4.005,3891,3891,3891,0,3
4.016,3891,3891,3891,0,3
4.026,3891,3891,3891,0,3
4.040,3891,3891,3891,0,2
4.051,3891,3891,3891,0,2
4.066,3891,3891,3891,0,2
4.076,3891,3891,3891,0,2
4.102,3891,3891,3891,0,2
4.111,3891,3891,3891,0,5
4.117,3891,3891,3891,0,5
4.126,3891,3891,3891,0,5
4.146,3891,3891,3891,0,2
4.150,3891,3891,3891,0,2
4.168,3906,3906,3906,0,2
4.176,3906,3906,3906,0,5
4.201,3906,3906,3906,0,3
4.217,3921,3921,3921,0,3
4.227,3921,3921,3921,0,3
4.251,3921,3921,3921,0,3
4.267,3936,3936,3936,0,2
4.276,3936,3936,3936,0,2
4.302,3936,3936,3936,0,2
4.319,3952,3952,3952,0,2
4.326,3952,3952,3952,0,2
4.350,3952,3952,3952,0,2
4.357,3952,3952,3952,0,3
4.369,3967,3967,3967,0,3
4.377,3967,3967,3967,0,3
4.400,3967,3967,3967,0,2
4.420,3967,3967,3967,0,2
4.427,3967,3967,3967,0,2
4.450,3967,3967,3967,0,2
4.471,3967,3967,3967,0,2
4.476,3967,3967,3967,0,3
4.501,3967,3967,3967,0,3
4.522,3983,3983,3983,0,3
4.526,3983,3983,3983,0,3
4.551,3983,3983,3983,0,2
4.574,3983,3983,3983,0,2
4.576,3983,3983,3983,0,2
4.601,3983,3983,3983,0,3
4.624,3983,3983,3983,0,2
4.626,3983,3983,3983,0,2
4.652,3983,3983,3983,0,2
4.675,3983,3983,3983,0,2
4.675,3983,3983,3983,0,2
4.701,3983,3983,3983,0,2
4.726,3983,3983,3983,0,2
4.726,3998,3998,3998,0,2
4.748,3998,3998,3998,0,3
4.752,3998,3998,3998,0,3
4.776,4014,4014,4014,0,11
4.776,4014,4014,4014,0,11
4.801,4014,4014,4014,0,2
4.827,4014,4014,4014,0,4
4.828,4014,4014,4014,0,4
4.850,4014,4014,4014,0,4
4.877,4014,4014,4014,0,4
4.877,4029,4029,4029,0,2
4.900,4029,4029,4029,0,2
4.923,4029,4029,4029,0,6
4.927,4029,4029,4029,0,6
4.928,4029,4029,4029,0,6
4.951,4029,4029,4029,0,6
4.976,4029,4029,4029,0,2
4.978,4045,4045,4045,0,2
5.001,4045,4045,4045,0,2
5.027,4045,4045,4045,0,2
5.029,4061,4061,4061,0,2
5.050,4061,4061,4061,0,8
5.076,4061,4061,4061,0,3
5.080,4077,4077,4077,0,3
5.099,4077,4077,4077,0,2
5.102,4077,4077,4077,0,2
5.126,4077,4077,4077,0,2
5.129,4092,4092,4092,0,2
5.152,4092,4092,4092,0,3
5.175,4092,4092,4092,0,3
5.180,4108,4108,4108,0,3
5.201,4108,4108,4108,0,3
5.206,4108,4108,4108,0,6
5.227,4108,4108,4108,0,6
5.230,4124,4124,4124,0,6
5.239,4124,4124,4124,0,6
5.251,4124,4124,4124,0,6
5.274,4124,4124,4124,0,2
5.275,4124,4124,4124,0,2
5.281,4124,4124,4124,0,2
5.301,4124,4124,4124,0,2
5.325,4124,4124,4124,0,2
5.332,4140,4140,4140,0,1
5.352,4140,4140,4140,0,1
5.376,4140,4140,4140,0,8
5.382,4156,4156,4156,0,8
5.402,4156,4156,4156,0,3
5.426,4156,4156,4156,0,2
5.432,4173,4173,4173,0,2
5.451,4173,4173,4173,0,8
5.451,4173,4173,4173,0,8
5.477,4173,4173,4173,0,8
5.482,4189,4189,4189,0,8
5.501,4189,4189,4189,0,3
5.525,4189,4189,4189,0,3
5.533,4205,4205,4205,0,3
5.552,4205,4205,4205,0,3
5.557,4205,4205,4205,0,2
5.576,4205,4205,4205,0,2
5.584,4222,4222,4222,0,2
5.602,4222,4222,4222,0,2
5.626,4222,4222,4222,0,2
5.633,4222,4222,4222,0,2
5.652,4222,4222,4222,0,2
5.675,4222,4222,4222,0,5
5.684,4238,4238,4238,0,5
5.702,4238,4238,4238,0,5
5.726,4238,4238,4238,0,9
5.734,4254,4254,4254,0,9
5.750,4254,4254,4254,0,3
5.767,4254,4254,4254,0,2
5.776,4254,4254,4254,0,2
5.785,4271,4271,4271,0,2
5.801,4271,4271,4271,0,3
5.827,4271,4271,4271,0,3
5.836,4288,4288,4288,0,6
5.851,4288,4288,4288,0,6
5.873,4288,4288,4288,0,3
5.875,4288,4288,4288,0,3
5.887,4305,4305,4305,0,3
5.901,4305,4305,4305,0,2
5.927,4305,4305,4305,0,2
5.938,4322,4322,4322,0,2
5.950,4322,4322,4322,0,2
5.977,4322,4322,4322,0,2
5.988,4339,4339,4339,0,2
6.001,4339,4339,4339,0,6
6.026,4339,4339,4339,0,6
6.040,4356,4356,4356,0,6
6.051,4356,4356,4356,0,6
6.077,4356,4356,4356,0,5
6.089,4356,4356,4356,0,5
6.101,4356,4356,4356,0,7
6.125,4356,4356,4356,0,7
6.139,4373,4373,4373,0,7
6.152,4373,4373,4373,0,7
6.155,4373,4373,4373,0,5
6.175,4373,4373,4373,0,5
6.190,4390,4390,4390,0,11
6.201,4390,4390,4390,0,11
6.224,4390,4390,4390,0,2
6.226,4390,4390,4390,0,2
6.239,4406,4406,4406,0,2
6.252,4406,4406,4406,0,2
6.276,4406,4406,4406,0,10
6.290,4424,4424,4424,0,10
6.302,4424,4424,4424,0,10
6.326,4424,4424,4424,0,14
6.341,4441,4441,4441,0,2
6.350,4441,4441,4441,0,2
6.365,4441,4441,4441,0,3
6.376,4441,4441,4441,0,3
6.391,4458,4458,4458,0,3
6.402,4458,4458,4458,0,3
6.425,4458,4458,4458,0,3
6.442,4458,4458,4458,0,3
6.452,4458,4458,4458,0,3
6.472,4458,4458,4458,0,2
6.476,4458,4458,4458,0,2
6.493,4476,4476,4476,0,2
6.500,4476,4476,4476,0,2
6.508,4476,4476,4476,0,12
6.527,4476,4476,4476,0,12
6.542,4476,4476,4476,0,5
6.544,4493,4493,4493,0,5
6.551,4493,4493,4493,0,2
6.576,4493,4493,4493,0,2
6.594,4511,4511,4511,0,2
6.602,4511,4511,4511,0,2
6.625,4511,4511,4511,0,15
6.644,4528,4528,4528,0,15
6.651,4528,4528,4528,0,2
6.677,4528,4528,4528,0,14
6.695,4546,4546,4546,0,14
6.701,4546,4546,4546,0,8
6.725,4546,4546,4546,0,8
6.746,4564,4564,4564,0,8
6.752,4564,4564,4564,0,8
